farm_id,governorate,center,crop_type,area_feddan,yield_per_feddan,total_yield,waste_ratio,waste_tons,temperature,humidity,rainfall,harvest_method,soil_type
0,Sharqia,Abu Hammad,Sugar Beet,14.310000289738827,27.31993941811405,390.9483409888593,0.3397987726295555,132.84376642957534,29.13332404565746,43.4991220536301,4.592488919658671,Manual,Loamy
1,Sharqia,Abu Hammad,Potato,14.57873793026792,14.162213204002109,206.4671948137267,0.12123391106782762,25.030825534471184,37.87538494865948,61.61185283697008,6.116531604882809,Mechanical,Clay
2,Sharqia,Minya El Qamh,Wheat,8.346845243617448,2.8998609717152553,24.20469075891335,0.30933313264272305,7.487312817103036,27.861789492699067,55.962449447596256,7.851759613930136,Mechanical,Loamy
3,Sharqia,Husseiniya,Sugar Beet,9.293803964068594,20.464504127199977,190.19308958006926,0.3411317277852157,64.88089726125733,29.207988031512688,40.46427364059533,9.422017556848527,Manual,Sandy
4,Sharqia,Minya El Qamh,Rice,5.26459276842719,3.097672114006384,16.307982210356574,0.40263495397682353,6.566163666721776,32.93221630120733,61.34988302239174,8.331949117361644,Manual,Sandy
5,Sharqia,Belbeis,Wheat,4.622919742400237,3.162522284353982,14.62008670412072,0.3623422152178822,5.297474603048608,25.32706660589102,59.8695114736997,0.31313292455558583,Mechanical,Sandy
6,Sharqia,Husseiniya,Sugar Beet,14.152985181898648,28.948273504276486,409.70448594757437,0.28968499682166277,118.68524270954406,27.224652300893368,59.96553910418898,5.208342600258237,Mechanical,Clay
7,Sharqia,Abu Hammad,Potato,4.798886444834543,14.143687545759647,67.87395044332112,0.13567533266935894,9.208820805981176,31.712547962986953,49.659971370789016,2.962735057040824,Mechanical,Clay
8,Sharqia,Minya El Qamh,Wheat,14.816417112407242,3.272244769296657,48.48294339579208,0.3397431363068345,16.47174724667313,22.22527716344135,46.95948414310818,7.113419527486499,Mechanical,Clay
9,Sharqia,Husseiniya,Maize,2.036625124277265,2.3584657285442727,4.80331055750015,0.4231738119050259,2.0326352383809936,35.60061724463679,55.73077359483712,0.9541011649041131,Manual,Clay
10,Sharqia,Belbeis,Maize,9.278169027908179,2.2747217929900643,21.105253286828173,0.5122486851695403,10.81113824634785,23.913507935012827,64.96356755280482,7.607850486168974,Manual,Loamy
11,Sharqia,Abu Hammad,Maize,8.318259611347916,2.4275410183585495,20.192916407902313,0.405083825348819,8.179823823462002,25.22750723736634,71.35172584857318,4.7537022318211175,Manual,Sandy
12,Sharqia,Faqous,Potato,4.490091208084249,12.051914615178148,54.11419585419347,0.1755551138543049,9.500023814317087,37.08565712892769,60.96029132709876,6.947849330397045,Mechanical,Sandy
13,Sharqia,Belbeis,Rice,12.313685313901837,3.6334037565104236,44.74059047601817,0.38071908852815767,17.033596826241208,25.495046995469338,54.57784817546282,8.832802589188683,Mechanical,Loamy
14,Sharqia,Husseiniya,Sugar Beet,5.988169733077648,29.06828441545754,174.06582092913555,0.2908198374076953,50.621793740848204,28.8337246180201,68.63051680728725,8.607305832563434,Manual,Loamy
15,Sharqia,Zagazig,Wheat,7.787619599025765,3.1924360328902703,24.86147741837233,0.3538824667597043,8.798040956104286,37.08655526260031,51.312102620726435,5.187906217433661,Mechanical,Clay
16,Sharqia,Zagazig,Wheat,4.554815795080826,2.7468760628386013,12.511514478146692,0.48926085456795765,6.121394265517425,26.814052957068313,49.969417303211365,0.36886947354532795,Manual,Sandy
17,Sharqia,Husseiniya,Rice,6.754518186455238,3.0330507329005485,20.486796335818145,0.35176068720400244,7.20644955769583,25.832990250671557,45.07132052319281,4.89452760277563,Manual,Loamy
18,Sharqia,Minya El Qamh,Sugar Beet,2.1319465686580132,23.696544560614043,50.519766865052816,0.2363239907416139,11.939032916885234,27.88453012350805,62.13070407077528,6.335297107608947,Mechanical,Loamy
19,Sharqia,Minya El Qamh,Wheat,3.1100456155160128,3.0081987767407186,9.355635416203105,0.4891625613581763,4.576426583323179,31.45428709101187,63.71475266447989,0.16587828927856152,Manual,Loamy
20,Sharqia,Faqous,Maize,5.8813238220842115,2.0961765510914208,12.328293085228296,0.5381046528979209,6.63391187145061,28.1877655408086,72.78554960578572,1.3752094414599325,Mechanical,Clay
21,Sharqia,Faqous,Wheat,3.9270026903279915,3.041447973827566,11.94377437571347,0.4891568798690164,5.84237940748351,32.55974473654686,68.60277700704256,5.5520081159946235,Manual,Clay
22,Sharqia,Minya El Qamh,Rice,14.947551796610941,3.9654193512887934,59.2733111486726,0.3337440180410647,19.782113025356228,32.12962331637229,51.866042686704525,3.492095746126609,Mechanical,Sandy
23,Sharqia,Zagazig,Wheat,9.988443046160029,2.5841399649950487,25.811534863659016,0.33232574281892274,8.577837496862005,32.703812075427656,60.324031750275914,3.722827665617431,Mechanical,Loamy
24,Sharqia,Faqous,Wheat,1.0708621738470616,2.6608080514174985,2.8493586941307067,0.4097467578733172,1.167515486938206,29.17478628777996,74.80601119137873,1.7592525267734538,Mechanical,Clay
25,Sharqia,Minya El Qamh,Potato,3.5035179290986034,11.8323439229143,41.45482907719115,0.22441705230565623,9.303170545338045,32.52180627680549,59.89080111674151,0.9367476782809248,Manual,Sandy
26,Sharqia,Abu Hammad,Potato,7.814390141432371,14.53049393859277,113.54694858388217,0.1934394365510429,21.964457756156406,30.042193489683072,60.19163596192257,4.925176938188639,Manual,Clay
